id,title,price,currency,condition,date_created,permalink,thumbnail,city,state,seller_id,seller_name,is_car_dealer,year,km,brand,model,version,fuel,transmission,color,doors,engine
MLU1336068408,Chevrolet Joy 1.0 Joy Hb 78cv,13900,USD,used,2026-04-24T19:38:00.515Z,https://auto.mercadolibre.com.uy/MLU-1336068408-chevrolet-joy-10-joy-hb-78cv-_JM,http://http2.mlstatic.com/D_862825-MLU109947358026_042026-I.jpg,Barra de Carrasco,Canelones,384360201,AMAYA FABIANDASILVA,True,2023,38000 km,Chevrolet,Joy,,Nafta,Manual,Azul,5,1000 cc
MLU1336105812,Volkswagen Gol Trendline 1.6 2022 Impecable! Automax,14200,USD,used,2026-04-24T17:23:12.649Z,https://auto.mercadolibre.com.uy/MLU-1336105812-volkswagen-gol-trendline-16-2022-impecable-automax-_JM,http://http2.mlstatic.com/D_707807-MLU109944812246_042026-I.jpg,Solymar,Canelones,177773150,AUTOMAX URUGUAY,True,2022,92000 km,Volkswagen,Gol,,Nafta,Manual,Blanco,5,1600 cc
MLU1336065592,Audi A3 1.2 Tfsi Manual,20990,USD,used,2026-04-24T15:06:27.391Z,https://auto.mercadolibre.com.uy/MLU-1336065592-audi-a3-12-tfsi-manual-_JM,http://http2.mlstatic.com/D_700668-MLU109939255422_042026-I.jpg,Punta Carretas,Montevideo,63888281,96418042,False,2014,75000 km,Audi,A3,,Nafta,Manual,Blanco,5,
MLU1336067816,Kia Picanto Ex Plus 1.0 Mt 2018,11490,USD,used,2026-04-24T18:47:27.912Z,https://auto.mercadolibre.com.uy/MLU-1336067816-kia-picanto-ex-plus-10-mt-2018-_JM,http://http2.mlstatic.com/D_667036-MLU110851154283_042026-I.jpg,Carrasco,Montevideo,145714851,USADOSRONDEAU,True,2018,123558 km,Kia,Picanto,,Nafta,Manual,Blanco,5,1000 cc
MLU1336065044,Renault Master 2.3 T4 Dci130 Minibus,21500,USD,used,2026-04-24T14:09:12.651Z,https://auto.mercadolibre.com.uy/MLU-1336065044-renault-master-23-t4-dci130-minibus-_JM,http://http2.mlstatic.com/D_813342-MLU109937190224_042026-I.jpg,Centro,Montevideo,753938717,BAFE6791012,False,2016,250000 km,Renault,Master,,Diésel,Manual,Blanco,4,2300 cc
MLU1336104148,Renault Clio 1.2 Authentique Pack,7200,USD,used,2026-04-24T14:36:52.087Z,https://auto.mercadolibre.com.uy/MLU-1336104148-renault-clio-12-authentique-pack-_JM,http://http2.mlstatic.com/D_875319-MLU109938624628_042026-I.jpg,Playa Verde,Maldonado,1782047336,LUISBENTANCORAUTOMOVILES,True,2008,214100 km,Renault,Clio,,Nafta,Manual,Gris,5,1200 cc
MLU1336040970,Peugeot 207 Compact 1.4 2011 Fullcars,7990,USD,used,2026-04-24T17:42:51.565Z,https://auto.mercadolibre.com.uy/MLU-1336040970-peugeot-207-compact-14-2011-fullcars-_JM,http://http2.mlstatic.com/D_694401-MLU109945350816_042026-I.jpg,Colón,Montevideo,709071681,FULLCARS AUTOMOVILES,True,2011,158000 km,Peugeot,207,,Nafta,Manual,Plateado,5,1400 cc
MLU1336105878,Citroën C3 Shine At 1.6 2024 Impecable! Werner Bernheim,15800,USD,used,2026-04-24T17:32:00.821Z,https://auto.mercadolibre.com.uy/MLU-1336105878-citron-c3-shine-at-16-2024-impecable-werner-bernheim-_JM,http://http2.mlstatic.com/D_916059-MLU109944956846_042026-I.jpg,Montevideo,Montevideo,150180826,WERNERBERNHEIM,True,2024,16000 km,Citroën,C3,,Nafta,Automática secuencial,Gris oscuro,4,1600 cc
MLU1336105300,Suzuki Swift 1.2 Gl 5p,16200,USD,used,2026-04-24T16:10:10.124Z,https://auto.mercadolibre.com.uy/MLU-1336105300-suzuki-swift-12-gl-5p-_JM,http://http2.mlstatic.com/D_778735-MLU110845559763_042026-I.jpg,Colon Sureste Abayuba,Montevideo,2965965331,M20251104042818,False,2022,70000 km,Suzuki,Swift,,Nafta,Manual,Rojo,5,1200 cc
MLU1336104430,Chevrolet Onix 1.0 Lt 78cv,12700,USD,used,2026-04-24T15:08:37.636Z,https://auto.mercadolibre.com.uy/MLU-1336104430-chevrolet-onix-10-lt-78cv-_JM,http://http2.mlstatic.com/D_743930-MLU110843878253_042026-I.jpg,Ciudad de la Costa,Canelones,166359114,GRUPOALER2014,True,2020,45000 km,Chevrolet,Onix,,Nafta,Manual,Negro,5,1000 cc
